Disease,Symptom,Relation
pneumonia,sweating and shaking chills,has_symptom
pneumonia,vomiting or diarrhea,has_symptom
psoriasis,inflammatory nails,has_symptom
psoriasis,pain,has_symptom
psoriasis,red patches of skin,has_symptom
psoriasis,silver like dusting,has_symptom
psoriasis,skin peeling,has_symptom
psoriasis,small dents in nails,has_symptom
psoriasis,thickened nails.,has_symptom
tuberculosis,blood in sputum,has_symptom
typhoid,belly pain,has_symptom
typhoid,toxic look (typhos),has_symptom
urinary tract infection,bladder discomfort,has_symptom
urinary tract infection,continuous feel of urine,has_symptom
urinary tract infection,foul smell of urine,has_symptom
varicose veins,bruising,has_symptom
varicose veins,cramps,has_symptom
varicose veins,prominent veins on calf,has_symptom
varicose veins,swollen blood vessels,has_symptom
varicose veins,swollen legs,has_symptom
influenza (flu),fatigue.,has_symptom
influenza (flu),headaches,has_symptom
influenza (flu),muscle aches,has_symptom
influenza (flu),muscle or body aches,has_symptom
influenza (flu),runny or stuffy nose,has_symptom
covid-19,aches and pains,has_symptom
covid-19,difficulty breathing,has_symptom
covid-19,dry cough,has_symptom
covid-19,loss of taste or smell,has_symptom
covid-19,tiredness,has_symptom
tuberculosis (tb),fever.,has_symptom
tuberculosis (tb),night sweats,has_symptom
tuberculosis (tb),persistent cough,has_symptom
dengue fever,joint and muscle pain,has_symptom
dengue fever,rash.,has_symptom
dengue fever,severe headache,has_symptom
cholera,low blood pressure.,has_symptom
cholera,muscle cramps,has_symptom
cholera,rapid heart rate,has_symptom
meningitis,sensitivity to light.,has_symptom
asthma,chest tightness or pain,has_symptom
asthma,chest tightness.,has_symptom
asthma,coughing,has_symptom
asthma,coughing or wheezing attacks,has_symptom
asthma,trouble sleeping due to shortness of breath,has_symptom
asthma,wheezing,has_symptom
asthma,wheezing when exhaling,has_symptom
chickenpox,itchy rash,has_symptom
typhoid fever,weakness,has_symptom
ebola virus,bleeding.,has_symptom
zika virus,muscle pain.,has_symptom
zika virus,rash,has_symptom
zika virus,red eyes,has_symptom
leprosy (hansen's disease),nerve damage,has_symptom
leprosy (hansen's disease),numbness in affected areas.,has_symptom
leprosy (hansen's disease),skin sores,has_symptom
celiac disease,anemia.,has_symptom
celiac disease,bloating,has_symptom
rheumatoid arthritis,weight loss.,has_symptom
lyme disease,rash (bullseye pattern).,has_symptom
parkinson's disease,balance issues.,has_symptom
parkinson's disease,muscle stiffness,has_symptom
parkinson's disease,slowed movement,has_symptom
parkinson's disease,speech problems,has_symptom
parkinson's disease,tremors,has_symptom
bronchitis,chest discomfort,has_symptom
bronchitis,chest discomfort.,has_symptom
bronchitis,cough with mucus,has_symptom
bronchitis,production of mucus,has_symptom
bronchitis,slight fever,has_symptom
bronchitis,slight fever and chills,has_symptom
chronic obstructive pulmonary disease (copd),chronic cough,has_symptom
chronic obstructive pulmonary disease (copd),frequent respiratory infections.,has_symptom
diabetes mellitus type 1,blurred vision.,has_symptom
diabetes mellitus type 1,excessive thirst,has_symptom
diabetes mellitus type 1,frequent urination,has_symptom
diabetes mellitus type 2,blurred vision,has_symptom
diabetes mellitus type 2,increased hunger,has_symptom
diabetes mellitus type 2,slow healing wounds.,has_symptom
gout,inflammation.,has_symptom
gout,intense joint pain,has_symptom
gout,limited range of motion,has_symptom
hypertension (high blood pressure),but severe cases may include headaches,has_symptom
hypertension (high blood pressure),nosebleeds,has_symptom
hypertension (high blood pressure),nosebleeds.,has_symptom
hypertension (high blood pressure),often no symptoms,has_symptom
hypertension (high blood pressure),visual changes,has_symptom
irritable bowel syndrome (ibs),constipation.,has_symptom
irritable bowel syndrome (ibs),gas,has_symptom
kidney stones,blood in urine,has_symptom
kidney stones,frequent urination.,has_symptom
kidney stones,severe pain in the back or side,has_symptom
osteoarthritis,bone spurs.,has_symptom
osteoarthritis,loss of flexibility,has_symptom
cataracts,difficulty seeing at night.,has_symptom
cataracts,faded colors,has_symptom
cataracts,sensitivity to light,has_symptom
macular degeneration,blurred or reduced central vision,has_symptom
macular degeneration,difficulty recognizing faces,has_symptom
macular degeneration,visual distortions.,has_symptom
peptic ulcer disease,burning stomach pain,has_symptom
peptic ulcer disease,fatty food intolerance.,has_symptom
peptic ulcer disease,heartburn,has_symptom
fibromyalgia,memory issues,has_symptom
fibromyalgia,mood changes.,has_symptom
fibromyalgia,sleep disturbances,has_symptom
fibromyalgia,widespread muscle pain,has_symptom
lupus,butterfly-shaped facial rash,has_symptom
multiple sclerosis,coordination issues,has_symptom
multiple sclerosis,numbness,has_symptom
multiple sclerosis,vision problems,has_symptom
parkinsonism,balance issues,has_symptom
parkinsonism,changes in speech.,has_symptom
parkinsonism,slowed movements,has_symptom
alzheimer's disease,confusion,has_symptom
alzheimer's disease,difficulty with planning,has_symptom
alzheimer's disease,memory loss,has_symptom
alzheimer's disease,mood swings.,has_symptom
cystic fibrosis,lung infections,has_symptom
cystic fibrosis,persistent cough with mucus,has_symptom
cystic fibrosis,salty sweat.,has_symptom
polio,paralysis in severe cases.,has_symptom
shingles (herpes zoster),blisters,has_symptom
shingles (herpes zoster),headache.,has_symptom
shingles (herpes zoster),painful rash,has_symptom
epilepsy,seizures,has_symptom
epilepsy,staring spells,has_symptom
epilepsy,uncontrollable jerking movements.,has_symptom
hemophilia,easy bruising,has_symptom
hemophilia,excessive bleeding,has_symptom
hemophilia,prolonged bleeding.,has_symptom
hiv,swollen lymph nodes.,has_symptom
rabies,confusion.,has_symptom
rabies,excess salivation,has_symptom
rabies,muscle spasms,has_symptom
rabies,paralysis,has_symptom
anthrax,cough.,has_symptom
tetanus,jaw cramping,has_symptom
tetanus,seizures.,has_symptom
tetanus,trouble swallowing,has_symptom
botulism,difficulty swallowing,has_symptom
botulism,slurred speech.,has_symptom
hantavirus,shortness of breath.,has_symptom
west nile virus,body aches,has_symptom
west nile virus,diarrhea.,has_symptom
yellow fever,jaundice.,has_symptom
syphilis,muscle aches.,has_symptom
syphilis,painless sores,has_symptom
syphilis,skin rashes,has_symptom
syphilis,swollen lymph nodes,has_symptom
gonorrhea,abnormal discharge,has_symptom
gonorrhea,pain in testicles,has_symptom
gonorrhea,painful urination,has_symptom
gonorrhea,pelvic pain.,has_symptom
chlamydia,bleeding between periods.,has_symptom
chlamydia,discharge,has_symptom
trichomoniasis,burning during urination,has_symptom
trichomoniasis,discomfort.,has_symptom
trichomoniasis,vaginal discharge,has_symptom
toxoplasmosis,flu-like symptoms,has_symptom
mumps,swollen salivary glands,has_symptom
rubella (german measles),aching joints.,has_symptom
whooping cough (pertussis),severe coughing fits,has_symptom
whooping cough (pertussis),vomiting after coughing.,has_symptom
scarlet fever,red lines,has_symptom
scarlet fever,red rash,has_symptom
scarlet fever,strawberry-like tongue.,has_symptom
type 2 diabetes,increased thirst,has_symptom
type 2 diabetes,slow-healing sores,has_symptom
type 2 diabetes,unintended weight loss,has_symptom
allergies,itchy and watery eyes,has_symptom
allergies,itchy nose,has_symptom
allergies,itchy roof of mouth or throat,has_symptom
gastroesophageal reflux disease (gerd),regurgitation of food or sour liquid,has_symptom
gastroesophageal reflux disease (gerd),sensation of a lump in the throat,has_symptom
urinary tract infection (uti),burning sensation when urinating,has_symptom
urinary tract infection (uti),cloudy urine,has_symptom
urinary tract infection (uti),passing frequent,has_symptom
urinary tract infection (uti),pelvic pain,has_symptom
urinary tract infection (uti),persistent urge to urinate,has_symptom
urinary tract infection (uti),red or bright pink urine,has_symptom
urinary tract infection (uti),small amounts of urine,has_symptom
urinary tract infection (uti),strong,has_symptom
urinary tract infection (uti),strong-smelling urine,has_symptom
sinusitis,cheeks,has_symptom
sinusitis,drainage down the back of the throat,has_symptom
sinusitis,nasal inflammation,has_symptom
sinusitis,nasal obstruction or congestion,has_symptom
sinusitis,nose or forehead,has_symptom
sinusitis,pain or tenderness around eyes,has_symptom
sinusitis,reduced sense of smell and taste,has_symptom
sinusitis,thick nasal discharge,has_symptom
otitis media (ear infection),diminished hearing,has_symptom
otitis media (ear infection),drainage of fluid from the ear,has_symptom
otitis media (ear infection),ear pain,has_symptom
otitis media (ear infection),irritability in infants and young children,has_symptom
conjunctivitis (pink eye),a discharge in one or both eyes that forms a crust during the night,has_symptom
conjunctivitis (pink eye),a gritty feeling in one or both eyes,has_symptom
conjunctivitis (pink eye),itchiness in one or both eyes,has_symptom
conjunctivitis (pink eye),redness in one or both eyes,has_symptom
conjunctivitis (pink eye),tearing,has_symptom
dermatitis,burning or tenderness,has_symptom
dermatitis,flaky skin,has_symptom
